"CohortGroup","cohortname","TotalUsers","Days0to6","Days7to13","Days14to20","Days21to27","Days28to34","Days35to41","Days42to48","Days49to55","Days56to62","Days63to69","Days70to76","Days77to83","Days84to90","Days91to97","Days98to104","Days105to111","Days112to118","Days119to125","Days126to132","Days133to139","Days140to146","Days147to153","Days154to160","Days161to167","Days168to174","Days175to181","Days182to188"
6,"2015-02-04 to 2015-02-10",148,"61.49% orderers ( 91 )","20.27% orderers ( 30 )","19.59% orderers ( 29 )","16.89% orderers ( 25 )","14.19% orderers ( 21 )","14.86% orderers ( 22 )","14.19% orderers ( 21 )","11.49% orderers ( 17 )","14.19% orderers ( 21 )","14.19% orderers ( 21 )","12.16% orderers ( 18 )","15.54% orderers ( 23 )","16.89% orderers ( 25 )","14.86% orderers ( 22 )","16.22% orderers ( 24 )","12.16% orderers ( 18 )","10.81% orderers ( 16 )","11.49% orderers ( 17 )","15.54% orderers ( 23 )","11.49% orderers ( 17 )","13.51% orderers ( 20 )","8.11% orderers ( 12 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"61.49% 1st time ( 91 )","9.46% 1st time ( 14 )","5.41% 1st time ( 8 )","2.7% 1st time ( 4 )","1.35% 1st time ( 2 )","2.7% 1st time ( 4 )","2.03% 1st time ( 3 )"," ( NA )","1.35% 1st time ( 2 )","1.35% 1st time ( 2 )","0.68% 1st time ( 1 )","2.03% 1st time ( 3 )","4.05% 1st time ( 6 )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )"," ( NA )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )","1.35% 1st time ( 2 )"," ( NA )","0.68% 1st time ( 1 )","0.68% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
7,"2015-02-11 to 2015-02-17",117,"56.41% orderers ( 66 )","23.08% orderers ( 27 )","22.22% orderers ( 26 )","17.95% orderers ( 21 )","16.24% orderers ( 19 )","10.26% orderers ( 12 )","14.53% orderers ( 17 )","16.24% orderers ( 19 )","11.11% orderers ( 13 )","14.53% orderers ( 17 )","15.38% orderers ( 18 )","10.26% orderers ( 12 )","13.68% orderers ( 16 )","8.55% orderers ( 10 )","11.11% orderers ( 13 )","16.24% orderers ( 19 )","12.82% orderers ( 15 )","7.69% orderers ( 9 )","12.82% orderers ( 15 )","15.38% orderers ( 18 )","3.42% orderers ( 4 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"56.41% 1st time ( 66 )","9.4% 1st time ( 11 )","9.4% 1st time ( 11 )","2.56% 1st time ( 3 )","3.42% 1st time ( 4 )"," ( NA )","2.56% 1st time ( 3 )","3.42% 1st time ( 4 )","0.85% 1st time ( 1 )"," ( NA )","1.71% 1st time ( 2 )"," ( NA )","1.71% 1st time ( 2 )","1.71% 1st time ( 2 )"," ( NA )","0.85% 1st time ( 1 )","2.56% 1st time ( 3 )"," ( NA )","1.71% 1st time ( 2 )","1.71% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
8,"2015-02-18 to 2015-02-24",126,"68.25% orderers ( 86 )","24.6% orderers ( 31 )","23.81% orderers ( 30 )","23.02% orderers ( 29 )","18.25% orderers ( 23 )","19.84% orderers ( 25 )","16.67% orderers ( 21 )","17.46% orderers ( 22 )","13.49% orderers ( 17 )","19.05% orderers ( 24 )","11.9% orderers ( 15 )","19.05% orderers ( 24 )","16.67% orderers ( 21 )","15.08% orderers ( 19 )","15.08% orderers ( 19 )","15.08% orderers ( 19 )","19.05% orderers ( 24 )","17.46% orderers ( 22 )","15.08% orderers ( 19 )","7.94% orderers ( 10 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"68.25% 1st time ( 86 )","8.73% 1st time ( 11 )","3.97% 1st time ( 5 )","3.17% 1st time ( 4 )","3.97% 1st time ( 5 )","3.97% 1st time ( 5 )","0.79% 1st time ( 1 )","1.59% 1st time ( 2 )"," ( NA )","1.59% 1st time ( 2 )","1.59% 1st time ( 2 )"," ( NA )"," ( NA )","0.79% 1st time ( 1 )"," ( NA )"," ( NA )","0.79% 1st time ( 1 )"," ( NA )"," ( NA )","0.79% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
9,"2015-02-25 to 2015-03-03",369,"58.27% orderers ( 215 )","21.68% orderers ( 80 )","18.7% orderers ( 69 )","14.36% orderers ( 53 )","17.34% orderers ( 64 )","13.28% orderers ( 49 )","15.45% orderers ( 57 )","13.82% orderers ( 51 )","14.91% orderers ( 55 )","15.72% orderers ( 58 )","11.38% orderers ( 42 )","14.63% orderers ( 54 )","9.76% orderers ( 36 )","12.2% orderers ( 45 )","9.76% orderers ( 36 )","12.2% orderers ( 45 )","12.47% orderers ( 46 )","13.28% orderers ( 49 )","3.52% orderers ( 13 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"58.27% 1st time ( 215 )","7.32% 1st time ( 27 )","6.23% 1st time ( 23 )","3.52% 1st time ( 13 )","3.52% 1st time ( 13 )","1.9% 1st time ( 7 )","2.44% 1st time ( 9 )","1.36% 1st time ( 5 )","2.17% 1st time ( 8 )","3.25% 1st time ( 12 )","1.63% 1st time ( 6 )","1.36% 1st time ( 5 )","0.81% 1st time ( 3 )","0.54% 1st time ( 2 )","0.81% 1st time ( 3 )","1.08% 1st time ( 4 )","2.17% 1st time ( 8 )","1.08% 1st time ( 4 )","0.54% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
10,"2015-03-04 to 2015-03-10",248,"64.11% orderers ( 159 )","26.61% orderers ( 66 )","19.76% orderers ( 49 )","16.13% orderers ( 40 )","20.56% orderers ( 51 )","14.92% orderers ( 37 )","14.92% orderers ( 37 )","16.53% orderers ( 41 )","20.16% orderers ( 50 )","14.92% orderers ( 37 )","14.11% orderers ( 35 )","11.69% orderers ( 29 )","15.73% orderers ( 39 )","14.92% orderers ( 37 )","14.52% orderers ( 36 )","14.92% orderers ( 37 )","16.13% orderers ( 40 )","4.44% orderers ( 11 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"64.11% 1st time ( 159 )","8.47% 1st time ( 21 )","6.45% 1st time ( 16 )","2.82% 1st time ( 7 )","3.63% 1st time ( 9 )","0.81% 1st time ( 2 )","1.61% 1st time ( 4 )","1.61% 1st time ( 4 )","1.61% 1st time ( 4 )","1.21% 1st time ( 3 )","0.81% 1st time ( 2 )","1.21% 1st time ( 3 )","0.81% 1st time ( 2 )","0.4% 1st time ( 1 )","2.02% 1st time ( 5 )","0.81% 1st time ( 2 )","1.21% 1st time ( 3 )","0.4% 1st time ( 1 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
