"CohortGroup","cohortname","TotalUsers","Days0to6","Days7to13","Days14to20","Days21to27","Days28to34","Days35to41","Days42to48","Days49to55","Days56to62","Days63to69","Days70to76","Days77to83","Days84to90","Days91to97","Days98to104","Days105to111","Days112to118","Days119to125","Days126to132","Days133to139","Days140to146","Days147to153","Days154to160","Days161to167","Days168to174","Days175to181","Days182to188"
NA,NA,NA,"72.68% 1st time ( 133 )","11.48% 1st time ( 21 )","5.46% 1st time ( 10 )","4.92% 1st time ( 9 )","3.28% 1st time ( 6 )","1.09% 1st time ( 2 )","1.09% 1st time ( 2 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
22,"2015-05-27 to 2015-06-02",188,"73.4% orderers ( 138 )","23.4% orderers ( 44 )","23.4% orderers ( 44 )","19.15% orderers ( 36 )","18.62% orderers ( 35 )","7.45% orderers ( 14 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"73.4% 1st time ( 138 )","6.91% 1st time ( 13 )","9.57% 1st time ( 18 )","5.32% 1st time ( 10 )","2.66% 1st time ( 5 )","2.13% 1st time ( 4 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
23,"2015-06-03 to 2015-06-09",181,"76.24% orderers ( 138 )","24.86% orderers ( 45 )","23.76% orderers ( 43 )","19.34% orderers ( 35 )","14.92% orderers ( 27 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"76.24% 1st time ( 138 )","9.39% 1st time ( 17 )","4.97% 1st time ( 9 )","5.52% 1st time ( 10 )","3.87% 1st time ( 7 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
24,"2015-06-10 to 2015-06-16",202,"84.16% orderers ( 170 )","24.75% orderers ( 50 )","20.79% orderers ( 42 )","9.9% orderers ( 20 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"84.16% 1st time ( 170 )","9.41% 1st time ( 19 )","4.46% 1st time ( 9 )","1.98% 1st time ( 4 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
25,"2015-06-17 to 2015-06-23",187,"88.24% orderers ( 165 )","24.06% orderers ( 45 )","11.23% orderers ( 21 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"88.24% 1st time ( 165 )","9.09% 1st time ( 17 )","2.67% 1st time ( 5 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
26,"2015-06-24 to 2015-06-30",144,"90.97% orderers ( 131 )","18.06% orderers ( 26 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"90.97% 1st time ( 131 )","9.03% 1st time ( 13 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
27,"2015-07-01 to 2015-07-07",148,"100% orderers ( 148 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"
NA,NA,NA,"100% 1st time ( 148 )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )"," ( NA )",NA
